run,condition,final_mean_belonging,final_std_belonging,final_mean_collective_reputation,mean_helping_rate,mean_reciprocal_support_rate,mean_volunteer_retention,mean_withdrawal_rate,mean_collective_avoidance_rate,mean_signal_extraction_consistency,community_breakdown
21,belonging_only,0.3045999999999995,0.18282363523352224,0.5,0.20577180526881023,0.3172306078641151,0.8706666666666668,0.05046477607061131,0.0,,0
22,belonging_only,0.15769199999999955,0.14434139536529353,0.5,0.144833412485721,0.2466154620106565,0.746,0.10999167796876103,0.0,,1
23,belonging_only,0.18261733333333285,0.12308653505923739,0.5,0.15013647489421483,0.2638202473051544,0.7646666666666667,0.10255373496472567,0.0,,1
24,belonging_only,0.1481759999999996,0.144220397114971,0.5,0.13426391779501215,0.2460251374543406,0.6873333333333335,0.11731763437800591,0.0,,1
25,belonging_only,0.19482666666666623,0.16728929938549222,0.5,0.15253978352229125,0.26651007953690614,0.7553333333333333,0.10922481070700885,0.0,,1
26,belonging_only,0.19480666666666618,0.16129994654542051,0.5,0.16050578468360135,0.2708254902136346,0.7620000000000001,0.09541254642442555,0.0,,1
27,belonging_only,0.15075199999999966,0.15164546948722188,0.5,0.13162246353204085,0.24059219949446764,0.7093333333333334,0.12828828636104178,0.0,,1
28,belonging_only,0.1970346666666662,0.09720900794107956,0.5,0.15548913702396674,0.27130391752210636,0.7946666666666666,0.06735124782338406,0.0,,1
29,belonging_only,0.17001199999999955,0.14285068349853977,0.5,0.149290113584386,0.26013032775617917,0.7240000000000001,0.09758306304978132,0.0,,1
0,full_structured_model,0.984674040459585,0.0344702950668218,0.5694484505302186,0.6623617430189792,0.7088801647795784,1.0,0.0,0.6233333333333333,,0
1,full_structured_model,0.969368068388199,0.08182225560326686,0.5101751611608821,0.6143684987312932,0.6603009105924271,1.0,0.0,0.763095238095238,,0
2,full_structured_model,0.9838740519977113,0.0427495878184583,0.5471596942437323,0.6750846088194664,0.7215259401642835,0.9940000000000001,0.0,0.8688095238095238,,0
3,full_structured_model,0.9753085260072675,0.06572398270568154,0.5482761450923596,0.6324381400204607,0.6793116038439585,1.0,0.0,0.7883888888888889,,0
4,full_structured_model,0.9390362916515017,0.17815197310881714,0.5102422477921091,0.6014430928698676,0.6506712413698083,0.9840000000000002,0.0,0.7754786324786325,,0
5,full_structured_model,0.9600573130297917,0.10093055773510734,0.4865462568023305,0.6002416490170535,0.6468929265578228,0.9973333333333333,0.0,0.7802669552669553,,0
6,full_structured_model,0.937613907618988,0.11678303660929462,0.48707907182325155,0.5791760266731294,0.6299214505484074,0.9993333333333334,0.0,0.8391008991008989,,0
7,full_structured_model,0.9916060421385499,0.014220966280275712,0.5666078389251343,0.6427191963859932,0.6860317118210204,1.0,0.0,0.7883333333333334,,0
8,full_structured_model,0.9673554178919951,0.08334975769618116,0.5684654882954093,0.6041538945563644,0.6567092059152231,1.0,0.0,0.8043333333333333,,0
9,full_structured_model,0.9390679911615759,0.1635397762879998,0.5483150769609723,0.620855094196861,0.6635215445049745,0.9966666666666668,0.0,0.8030158730158731,,0
10,full_structured_model,0.9898307229482401,0.022069331699107027,0.5641674718724198,0.6418312193220653,0.6891135424162443,1.0,0.0,0.6843333333333333,,0
11,full_structured_model,0.9558089889583395,0.1102762305198193,0.560684514138312,0.6383047385629544,0.6844594440912952,1.0,0.0,0.7508095238095237,,0
12,full_structured_model,0.9856674568541295,0.025919590405043148,0.5493280961484176,0.671264514089883,0.7189478008154758,1.0,0.0,0.83,,0
13,full_structured_model,0.9762488594661749,0.07975684218445701,0.5377573216272001,0.6352543327071064,0.683185898932818,1.0,0.0,0.7393333333333332,,0
14,full_structured_model,0.9585265391522835,0.08166385113857783,0.541118281079632,0.6284819694096307,0.6755704732940775,1.0,0.0,0.6790952380952382,,0
15,full_structured_model,0.92696713921775,0.15489849450725302,0.5129029517873493,0.5438413329080416,0.5941664973681886,1.0,0.0,0.7099267399267398,,0
16,full_structured_model,0.9633725124967291,0.08087502599929845,0.5507835409825806,0.653739828178015,0.6989305600534144,1.0,0.0,0.7866666666666666,,0
17,full_structured_model,0.9363275892387767,0.14781613877065716,0.4988892424814219,0.6273333329485307,0.6778186751120441,0.9993333333333334,0.0,0.7439523809523808,,0
18,full_structured_model,0.776078271078389,0.29327553378799565,0.4555310110021104,0.5285789928293092,0.5732331648659741,0.9533333333333335,0.008407869907869908,0.7153686313686314,,0
19,full_structured_model,0.9652297855524439,0.06657740420302405,0.49545721934955583,0.6020437621191508,0.6501524318124251,1.0,0.0,0.7889898989898989,,0
20,full_structured_model,0.9706857899946738,0.05948631496505525,0.5381065166863557,0.6106108483934684,0.6631605924482108,1.0,0.0,0.7752380952380953,,0
21,full_structured_model,0.963984479913257,0.07342184427795677,0.5411136327292932,0.6674097581392846,0.7093604164810506,0.9973333333333333,0.0,0.7920555555555555,,0
22,full_structured_model,0.9168014126061713,0.20188846019475823,0.5546390679584251,0.6170563635004153,0.6653766892427355,0.9726666666666666,0.0007692307692307692,0.7164444444444444,,0
23,full_structured_model,0.9536531974317171,0.13304840904784676,0.5164664499097855,0.6033170525109529,0.6511542451682416,0.9960000000000001,0.0,0.6723330003330003,,0
