run,step,condition,mean_belonging,std_belonging,mean_collective_reputation,support_requests,helping_rate,reciprocal_support_rate,repair_rate,delay_rate,refusal_rate,withdrawal_rate,volunteer_retention,collective_avoidance_rate,mean_reward_signal,mean_pain_signal,mean_delta_B,mean_help_probability,mean_helping_value,signal_extraction_consistency
0,17,payoff_only,0.5,0.0,0.5,16,0.3125,0.425,0.0,0.375,0.3125,0.0,1.0,0.0,0.128125,0.159375,0.0,0.2364033948403731,0.3325000000000001,
0,18,payoff_only,0.5,0.0,0.5,20,0.15,0.3,0.0,0.5,0.35,0.0,1.0,0.0,0.0614999999999999,0.1875,0.0,0.2364033948403731,0.3325000000000001,
0,19,payoff_only,0.5,0.0,0.5,21,0.238095238095238,0.3523809523809524,0.0,0.3809523809523809,0.3809523809523809,0.0,1.0,0.0,0.0976190476190476,0.1857142857142857,0.0,0.2364033948403731,0.3325000000000002,
0,20,payoff_only,0.5,0.0,0.5,22,0.3636363636363636,0.4863636363636363,0.0,0.4090909090909091,0.2272727272727272,0.0,1.0,0.0,0.1490909090909091,0.13125,0.0,0.2364033948403731,0.3325000000000002,
0,21,payoff_only,0.5,0.0,0.5,20,0.1,0.265,0.0,0.55,0.35,0.0,1.0,0.0,0.0409999999999999,0.193125,0.0,0.2364033948403731,0.3325000000000001,
0,22,payoff_only,0.5,0.0,0.5,15,0.2,0.32,0.0,0.4,0.4,0.0,1.0,0.0,0.0819999999999999,0.1949999999999999,0.0,0.2364033948403731,0.3325000000000001,
0,23,payoff_only,0.5,0.0,0.5,23,0.3043478260869565,0.4347826086956521,0.0,0.4347826086956521,0.2608695652173913,0.0,1.0,0.0,0.1247826086956521,0.1467391304347826,0.0,0.2364033948403731,0.3325000000000002,
0,24,payoff_only,0.5,0.0,0.5,23,0.217391304347826,0.3608695652173913,0.0,0.4782608695652174,0.3043478260869565,0.0,1.0,0.0,0.0891304347826087,0.1679347826086956,0.0,0.2364033948403731,0.3325000000000002,
0,25,payoff_only,0.5,0.0,0.5,20,0.3,0.375,0.0,0.25,0.45,0.0,1.0,0.0,0.123,0.196875,0.0,0.2364033948403731,0.3325000000000001,
0,26,payoff_only,0.5,0.0,0.5,19,0.1052631578947368,0.2473684210526315,0.0,0.4736842105263157,0.4210526315789473,0.0,1.0,0.0,0.043157894736842,0.2111842105263158,0.0,0.2364033948403731,0.3325000000000001,
