run,step,condition,mean_belonging,std_belonging,mean_collective_reputation,support_requests,helping_rate,reciprocal_support_rate,repair_rate,delay_rate,refusal_rate,withdrawal_rate,volunteer_retention,collective_avoidance_rate,mean_reward_signal,mean_pain_signal,mean_delta_B,mean_help_probability,mean_helping_value,parameter,value
0,10,full_structured_model,0.6171932311381823,0.1933799998020013,0.4789394150590011,22,0.5909090909090909,0.6181818181818182,0.0,0.09090909090909091,0.3181818181818182,0.0,1.0,0.75,0.26362934084681283,0.12664081001420457,0.028184308717013475,0.5080927399111331,0.5074199715464466,beta_b,0.2
0,11,full_structured_model,0.6285564713970178,0.1930484354847298,0.47293581856121736,23,0.43478260869565216,0.5391304347826087,0.0,0.34782608695652173,0.21739130434782608,0.0,1.0,0.8,0.18521527642735225,0.12986349248008877,0.01482161772891606,0.5135378474067093,0.5108231745024902,beta_b,0.2
0,12,full_structured_model,0.6515011709392876,0.19908473871735768,0.48061459744389023,20,0.65,0.71,0.0,0.2,0.15,0.0,1.0,1.0,0.2779785633904785,0.08091969449858642,0.034417049313404675,0.5021704926271926,0.5033788942684128,beta_b,0.2
0,13,full_structured_model,0.6559877361358353,0.19015096349024985,0.4608807328020535,23,0.391304347826087,0.4434782608695652,0.0,0.17391304347826086,0.43478260869565216,0.0,1.0,1.0,0.166896380990746,0.20069224659498558,0.005852041560714266,0.5166273530168457,0.5119150085325941,beta_b,0.2
0,14,full_structured_model,0.6740674890197476,0.1979920223644531,0.4695531672639785,22,0.6363636363636364,0.6636363636363636,0.0,0.09090909090909091,0.2727272727272727,0.0,1.0,1.0,0.27571779266431024,0.12239855350786279,0.024654208478062375,0.55142012980754,0.5314976101588251,beta_b,0.2
0,15,full_structured_model,0.6906262085021105,0.20298430875584142,0.4706774223459106,20,0.6,0.645,0.0,0.15,0.25,0.0,1.0,0.8333333333333334,0.25923014137989925,0.11988368739890158,0.024838079223544494,0.5488546639814205,0.5307506380918017,beta_b,0.2
0,16,full_structured_model,0.6958329096708947,0.2112330241705815,0.466464248647098,20,0.5,0.575,0.0,0.25,0.25,0.0,1.0,1.0,0.21962273384006123,0.1268291954560547,0.007810051753176272,0.539148092636413,0.5271717430584061,beta_b,0.2
0,17,full_structured_model,0.698811358986942,0.20577509647594178,0.4530875454391991,26,0.4230769230769231,0.4923076923076923,0.07692307692307693,0.2692307692307692,0.3076923076923077,0.0,1.0,0.8571428571428571,0.17442574282789566,0.1611921427496766,0.003436672287746685,0.5387587802385103,0.525508912830534,beta_b,0.2
0,18,full_structured_model,0.7024533776247767,0.21458784200110653,0.4480329693316758,21,0.47619047619047616,0.5261904761904761,0.047619047619047616,0.19047619047619047,0.3333333333333333,0.0,1.0,1.0,0.1984180093550753,0.1558245526361047,0.005202883768335246,0.51759591890926,0.5142174499107386,beta_b,0.2
0,19,full_structured_model,0.7151146339148595,0.21503388960322387,0.46476768772915766,16,0.8125,0.83125,0.0,0.0625,0.125,0.0,1.0,1.0,0.3490085131743787,0.05423766500976563,0.02373985554390525,0.5832041821435615,0.5535838091815122,beta_b,0.2
0,20,full_structured_model,0.71365284988238,0.21031318746208694,0.4496279704404553,24,0.375,0.4375,0.0,0.20833333333333334,0.4166666666666667,0.0,1.0,0.875,0.16370505079902076,0.19041974256652616,-0.0018272300405992824,0.5260129839336017,0.5174222719862203,beta_b,0.2
