run,condition,final_mean_belonging,final_std_belonging,final_mean_collective_reputation,mean_helping_rate,mean_reciprocal_support_rate,mean_volunteer_retention,mean_withdrawal_rate,mean_collective_avoidance_rate,mean_signal_extraction_consistency,community_breakdown,parameter,value,seed
0,full_structured_model,0.9973091203977741,0.01449083013414329,0.6670900159609421,0.7836086677893038,0.8116846646693188,1.0,0.0,0.826,,0,beta_b,0.65,20260721
1,full_structured_model,0.9727316345856567,0.088331561531896,0.6110476113133725,0.7241785710705344,0.7555676752141608,0.9980000000000001,0.0,0.7985194805194805,,0,beta_b,0.65,20260722
2,full_structured_model,0.995498598091321,0.011420493920722192,0.697120885368782,0.7850215628726874,0.8121343935302856,1.0,0.0,0.0,,0,beta_b,0.65,20260723
3,full_structured_model,0.9980396843479291,0.00815395598903629,0.6267324535005787,0.8045683582229308,0.8289817214913466,1.0,0.0,0.8276666666666667,,0,beta_b,0.65,20260724
4,full_structured_model,0.9954599352599105,0.011206389088390853,0.6435667217789776,0.7822262522375767,0.8121660957293108,1.0,0.0,0.8083333333333332,,0,beta_b,0.65,20260725
5,full_structured_model,0.998677435751844,0.0071222264443440726,0.6446608337782939,0.7636710463164849,0.7921321997192945,1.0,0.0,0.8733333333333333,,0,beta_b,0.65,20260726
6,full_structured_model,0.9974071954017831,0.008684313725253728,0.6882181833677897,0.8013235623058712,0.8305444983522545,1.0,0.0,0.7983333333333333,,0,beta_b,0.65,20260727
7,full_structured_model,0.9978445809026483,0.00676772604730502,0.6420783283570264,0.8128123157896021,0.8418472878182398,1.0,0.0,0.0,,0,beta_b,0.65,20260728
8,full_structured_model,0.9963064706421736,0.010559110271084984,0.6400491214180739,0.7689857954999633,0.799109472523423,1.0,0.0,0.0,,0,beta_b,0.65,20260729
9,full_structured_model,0.9994407207247004,0.0030118110707038296,0.6445814506048361,0.7652941759169606,0.8022890660073186,1.0,0.0,0.76,,0,beta_b,0.65,20260730
10,full_structured_model,0.996227476478418,0.012383284663514092,0.6142480206399299,0.789793274146383,0.8197395329790398,1.0,0.0,0.83,,0,beta_b,0.65,20260731
11,full_structured_model,0.993859797448653,0.015798180946876274,0.6488613050116098,0.8012924491805894,0.8323950437441135,1.0,0.0,0.0,,0,beta_b,0.65,20260732
12,full_structured_model,0.9981532896079252,0.007571989437463752,0.6334161686441565,0.7722134148422367,0.8044969443750066,1.0,0.0,0.871,,0,beta_b,0.65,20260733
13,full_structured_model,0.9968632115181839,0.009013469262005117,0.6670749786936441,0.7938047469649328,0.82044918616393,1.0,0.0,0.8783333333333333,,0,beta_b,0.65,20260734
14,full_structured_model,0.9973728999094524,0.008706469174586657,0.6240340633271223,0.8001222501412001,0.8247269722168299,0.9940000000000001,0.0007692307692307692,0.8226666666666667,,0,beta_b,0.65,20260735
15,full_structured_model,0.9941347910109426,0.013129344617085216,0.6580735987477965,0.7358088937530831,0.7672938904640799,1.0,0.0,0.8148095238095238,,0,beta_b,0.65,20260736
16,full_structured_model,0.9939612689252139,0.015521816661276553,0.6795087423429503,0.7964788714873974,0.8276359392417935,1.0,0.0,0.64,,0,beta_b,0.65,20260737
